row,col,reference_class,label_status
0,0,0,reviewed
0,1,0,reviewed
0,2,1,reviewed
0,3,1,reviewed
0,4,0,reviewed
0,5,0,reviewed
1,0,0,reviewed
1,1,1,ambiguous_boundary
1,2,1,reviewed
1,3,1,reviewed
1,4,0,ambiguous_boundary
1,5,0,reviewed
2,0,0,reviewed
2,1,0,reviewed
2,2,1,reviewed
2,3,1,reviewed
2,4,1,reviewed
2,5,0,reviewed
3,0,0,reviewed
3,1,0,reviewed
3,2,0,reviewed
3,3,0,ambiguous_boundary
3,4,1,reviewed
3,5,1,reviewed
4,0,0,reviewed
4,1,0,reviewed
4,2,-1,no_data
4,3,0,reviewed
4,4,1,reviewed
4,5,1,reviewed
5,0,0,reviewed
5,1,0,reviewed
5,2,0,ambiguous_boundary
5,3,0,reviewed
5,4,0,reviewed
5,5,1,reviewed
