row,col,synthetic_ndvi,valid
0,0,0.18,true
0,1,0.22,true
0,2,0.48,true
0,3,0.52,true
0,4,0.20,true
0,5,0.17,true
1,0,0.21,true
1,1,0.46,true
1,2,0.55,true
1,3,0.58,true
1,4,0.43,true
1,5,0.19,true
2,0,0.16,true
2,1,0.24,true
2,2,0.51,true
2,3,0.49,true
2,4,0.47,true
2,5,0.20,true
3,0,0.15,true
3,1,0.18,true
3,2,0.27,true
3,3,0.44,true
3,4,0.53,true
3,5,0.50,true
4,0,0.14,true
4,1,0.19,true
4,2,-9999,false
4,3,0.23,true
4,4,0.48,true
4,5,0.54,true
5,0,0.16,true
5,1,0.20,true
5,2,0.45,true
5,3,0.18,true
5,4,0.22,true
5,5,0.49,true
