item_id,time,pixel_id,x_m,y_m,red_dn,red_edge_dn,nir_dn,scl,valid_local
SYN_M2_20250512,2025-05-12,PX_A,500005,6500055,1780,2210,4020,4,true
SYN_M2_20250512,2025-05-12,PX_B,500015,6500055,1940,2380,3860,4,true
SYN_M2_20250512,2025-05-12,PX_C,500005,6500045,1660,2140,4310,4,true
SYN_M2_20250512,2025-05-12,PX_D,500015,6500045,2050,2450,3650,5,true
SYN_M2_20250603,2025-06-03,PX_A,500005,6500055,1850,2470,4680,4,true
SYN_M2_20250603,2025-06-03,PX_B,500015,6500055,2100,2550,4400,8,false
SYN_M2_20250603,2025-06-03,PX_C,500005,6500045,1770,2380,4820,4,true
SYN_M2_20250603,2025-06-03,PX_D,500015,6500045,2220,2670,4210,8,false
SYN_M2_20250627,2025-06-27,PX_A,500005,6500055,1710,2630,5210,4,true
SYN_M2_20250627,2025-06-27,PX_B,500015,6500055,1930,2720,4940,4,true
SYN_M2_20250627,2025-06-27,PX_C,500005,6500045,1620,2550,5480,4,true
SYN_M2_20250627,2025-06-27,PX_D,500015,6500045,2080,2810,4670,5,true
SYN_M2_20250719,2025-07-19,PX_A,500005,6500055,1680,2580,5050,4,true
SYN_M2_20250719,2025-07-19,PX_B,500015,6500055,1900,2690,4820,4,true
SYN_M2_20250719,2025-07-19,PX_C,500005,6500045,1600,2510,5320,4,true
SYN_M2_20250719,2025-07-19,PX_D,500015,6500045,2030,2760,4550,5,true
SYN_M2_20250814,2025-08-14,PX_A,500005,6500055,2320,2780,4010,9,false
SYN_M2_20250814,2025-08-14,PX_B,500015,6500055,2180,2650,4160,9,false
SYN_M2_20250814,2025-08-14,PX_C,500005,6500045,1870,2440,4780,4,true
SYN_M2_20250814,2025-08-14,PX_D,500015,6500045,2290,2820,3970,8,false
SYN_M2_20250905,2025-09-05,PX_A,500005,6500055,1840,2380,4380,4,true
SYN_M2_20250905,2025-09-05,PX_B,500015,6500055,2020,2460,4140,4,true
SYN_M2_20250905,2025-09-05,PX_C,500005,6500045,1750,2290,4620,4,true
SYN_M2_20250905,2025-09-05,PX_D,500015,6500045,2140,2530,3910,5,true
