plot_id,site_id,plot_label,x_m,y_m,geom_wkt,qa_status
P001,S01,W-01,657100,6429100,POINT (657100 6429100),accept
P002,S01,W-02,657180,6429160,POINT (657180 6429160),accept
P003,S01,W-03,657260,6429220,POINT (657260 6429220),accept
P004,S02,C-01,657400,6429100,POINT (657400 6429100),accept
P005,S02,C-02,657500,6429180,POINT (657500 6429180),accept
P006,S02,C-03,657600,6429260,POINT (657600 6429260),accept
P007,S03,E-01,657760,6429100,POINT (657760 6429100),accept
P008,S03,E-02,657840,6429180,POINT (657840 6429180),accept
P009,S03,E-03,657920,6429260,POINT (657920 6429260),accept
P010,S04,R-01,658080,6429100,POINT (658080 6429100),accept
P011,S04,R-02,658160,6429180,POINT (658160 6429180),accept
P012,S04,R-03,657650,6429100,POINT (657650 6429100),review_boundary
