observation_id,plot_id,survey_date,ndvi_mean,biomass_g_m2,qa_status,source_status
O001,P001,2026-06-12,0.42,238,accept,synthetic
O002,P002,2026-06-12,0.47,264,accept,synthetic
O003,P003,2026-06-12,0.51,281,accept,synthetic
O004,P004,2026-06-13,0.49,271,accept,synthetic
O005,P005,2026-06-13,0.55,309,accept,synthetic
O006,P006,2026-06-13,0.58,326,accept,synthetic
O007,P007,2026-06-14,0.57,319,accept,synthetic
O008,P008,2026-06-14,0.62,351,accept,synthetic
O009,P009,2026-06-14,0.65,368,accept,synthetic
O010,P010,2026-06-15,0.38,216,accept,synthetic
O011,P011,2026-06-15,0.41,229,accept,synthetic
O012,P012,2026-06-15,0.53,298,review,synthetic
O013,P001,2026-07-10,0.48,269,accept,synthetic
O014,P002,2026-07-10,0.52,291,accept,synthetic
O015,P003,2026-07-10,0.56,315,accept,synthetic
O016,P004,2026-07-11,0.54,301,accept,synthetic
O017,P005,2026-07-11,0.61,344,accept,synthetic
O018,P006,2026-07-11,0.63,358,accept,synthetic
O019,P007,2026-07-12,0.64,366,accept,synthetic
O020,P008,2026-07-12,0.68,392,accept,synthetic
O021,P009,2026-07-12,0.71,812,review,synthetic
O022,P010,2026-07-13,0.43,244,accept,synthetic
O023,P011,2026-07-13,0.46,,review_missing,synthetic
