observation_id,site,spatial_block,chapter2_split,vegetation_height_cm,sentinel2_ndvi,sentinel2_ndmi,uav_height_p95,texture_contrast,acquisition_gap_days
M3B001,coast-a,block-a1,train,18.4,0.42,0.18,16.8,2.41,1
M3B002,coast-a,block-a1,train,20.1,0.45,0.20,18.7,2.30,2
M3B003,coast-a,block-a1,train,22.7,0.49,0.23,21.9,2.18,1
M3B004,coast-a,block-a2,train,25.6,0.52,0.26,25.4,2.04,3
M3B005,coast-a,block-a2,train,27.2,0.55,0.27,27.6,1.96,2
M3B006,coast-a,block-a2,train,29.8,0.58,0.30,30.9,1.83,1
M3B007,coast-a,block-a3,train,32.3,0.61,0.32,33.7,1.72,4
M3B008,coast-b,block-b1,train,21.3,0.46,0.24,19.8,2.28,2
M3B009,coast-b,block-b1,train,23.9,0.50,0.26,22.6,2.16,1
M3B010,coast-b,block-b1,train,26.7,0.54,0.29,26.1,2.02,3
M3B011,coast-b,block-b2,train,28.9,0.57,0.31,29.4,1.91,2
M3B012,coast-b,block-b2,train,31.5,0.60,0.34,32.8,1.78,1
M3B013,coast-b,block-b2,train,34.4,0.64,0.37,36.2,1.65,2
M3B014,coast-b,block-b3,train,37.1,0.67,0.39,39.5,1.54,4
M3B015,coast-c,block-c1,train,24.8,0.51,0.28,23.3,2.10,3
M3B016,coast-c,block-c1,train,27.6,0.55,0.31,27.2,1.97,1
M3B017,coast-c,block-c1,train,30.2,0.59,0.33,30.5,1.86,2
M3B018,coast-c,block-c2,train,33.8,0.63,0.36,34.9,1.70,1
M3B019,coast-c,block-c2,train,36.0,0.66,0.38,37.8,1.59,2
M3B020,coast-c,block-c2,train,39.2,0.69,0.41,41.6,1.47,3
M3B021,coast-c,block-c3,train,41.8,0.72,0.43,44.7,1.36,1
M3B022,coast-d,block-d1,train,26.1,0.53,0.30,24.9,2.05,2
M3B023,coast-d,block-d1,train,29.1,0.57,0.33,28.8,1.92,1
M3B024,coast-d,block-d1,train,31.9,0.60,0.35,32.1,1.80,3
M3B025,coast-d,block-d2,train,35.2,0.64,0.38,36.4,1.66,2
M3B026,coast-d,block-d2,train,38.6,0.68,0.41,40.3,1.52,1
M3B027,coast-d,block-d2,train,41.1,0.71,0.43,43.5,1.41,2
M3B028,coast-d,block-d3,train,44.5,0.75,0.46,47.2,1.28,4
M3B029,coast-a,block-a3,validation,24.0,0.50,0.24,22.7,2.12,2
M3B030,coast-a,block-a3,validation,34.0,0.63,0.34,35.1,1.69,3
M3B031,coast-b,block-b3,validation,25.4,0.52,0.28,24.1,2.08,1
M3B032,coast-b,block-b3,validation,39.0,0.69,0.40,41.0,1.49,2
M3B033,coast-c,block-c3,validation,28.4,0.56,0.31,28.2,1.94,3
M3B034,coast-c,block-c3,validation,43.1,0.73,0.44,45.6,1.34,1
M3B035,coast-d,block-d3,validation,30.8,0.59,0.34,31.1,1.84,2
M3B036,coast-d,block-d3,validation,46.0,0.77,0.48,49.4,1.22,3
M3B037,coast-a,block-a4,sealed,26.5,0.54,0.27,25.8,2.00,1
M3B038,coast-a,block-a4,sealed,36.7,0.66,0.37,38.2,1.61,2
M3B039,coast-b,block-b4,sealed,28.1,0.56,0.30,27.4,1.96,3
M3B040,coast-b,block-b4,sealed,41.5,0.71,0.42,44.0,1.39,1
M3B041,coast-c,block-c4,sealed,31.0,0.60,0.34,31.8,1.82,2
M3B042,coast-c,block-c4,sealed,45.2,0.76,0.47,48.1,1.25,4
M3B043,coast-d,block-d4,sealed,33.6,0.62,0.36,34.4,1.73,1
M3B044,coast-d,block-d4,sealed,47.8,0.79,0.50,51.6,1.17,2
