feature,held_out_site,importance_mean_mae_cm,importance_std_mae_cm,model_skill_vs_baseline,correlated_family,data_status
uav_height_p95,coast-a,1.42,0.19,0.38,canopy_structure,synthetic
uav_height_p95,coast-b,1.18,0.22,0.31,canopy_structure,synthetic
uav_height_p95,coast-c,1.55,0.17,0.42,canopy_structure,synthetic
uav_height_p95,coast-d,1.26,0.20,0.35,canopy_structure,synthetic
sentinel2_ndvi,coast-a,1.06,0.25,0.38,greenness,synthetic
sentinel2_ndvi,coast-b,0.18,0.21,0.31,greenness,synthetic
sentinel2_ndvi,coast-c,0.72,0.24,0.42,greenness,synthetic
sentinel2_ndvi,coast-d,0.22,0.20,0.35,greenness,synthetic
sentinel2_gndvi,coast-a,0.20,0.19,0.38,greenness,synthetic
sentinel2_gndvi,coast-b,0.95,0.27,0.31,greenness,synthetic
sentinel2_gndvi,coast-c,0.24,0.18,0.42,greenness,synthetic
sentinel2_gndvi,coast-d,0.69,0.23,0.35,greenness,synthetic
texture_contrast,coast-a,-0.03,0.16,0.38,texture,synthetic
texture_contrast,coast-b,0.21,0.15,0.31,texture,synthetic
texture_contrast,coast-c,0.88,0.31,0.42,texture,synthetic
texture_contrast,coast-d,0.02,0.14,0.35,texture,synthetic
seeded_noise,coast-a,-0.04,0.12,0.38,diagnostic_noise,synthetic
seeded_noise,coast-b,0.01,0.11,0.31,diagnostic_noise,synthetic
seeded_noise,coast-c,0.08,0.13,0.42,diagnostic_noise,synthetic
seeded_noise,coast-d,-0.02,0.10,0.35,diagnostic_noise,synthetic
