run,round,training_mae_cm,development_mae_cm,baseline_mae_cm,data_status
underfit,1,8.80,9.10,9.40,synthetic
underfit,50,8.05,8.62,9.40,synthetic
underfit,150,7.82,8.39,9.40,synthetic
underfit,300,7.78,8.37,9.40,synthetic
controlled,1,8.74,9.03,9.40,synthetic
controlled,50,5.93,6.41,9.40,synthetic
controlled,150,3.78,4.62,9.40,synthetic
controlled,220,3.31,4.41,9.40,synthetic
controlled,300,3.02,4.47,9.40,synthetic
overfit,1,8.62,8.96,9.40,synthetic
overfit,50,4.90,5.86,9.40,synthetic
overfit,150,2.71,4.79,9.40,synthetic
overfit,300,1.36,5.22,9.40,synthetic
overfit,600,0.51,6.18,9.40,synthetic
