observation_id,site,spatial_block,reference_class,rare_probability,evidence_role,data_status
RH-001,coast-a,a-1,0,0.04,development-oof,synthetic
RH-002,coast-a,a-1,0,0.09,development-oof,synthetic
RH-003,coast-a,a-2,1,0.78,development-oof,synthetic
RH-004,coast-a,a-2,0,0.31,development-oof,synthetic
RH-005,coast-a,a-3,0,0.18,development-oof,synthetic
RH-006,coast-a,a-3,1,0.44,development-oof,synthetic
RH-007,coast-b,b-1,0,0.07,development-oof,synthetic
RH-008,coast-b,b-1,0,0.26,development-oof,synthetic
RH-009,coast-b,b-2,0,0.12,development-oof,synthetic
RH-010,coast-b,b-2,1,0.36,development-oof,synthetic
RH-011,coast-b,b-3,0,0.55,development-oof,synthetic
RH-012,coast-b,b-3,0,0.15,development-oof,synthetic
RH-013,coast-c,c-1,0,0.03,development-oof,synthetic
RH-014,coast-c,c-1,1,0.67,development-oof,synthetic
RH-015,coast-c,c-2,0,0.23,development-oof,synthetic
RH-016,coast-c,c-2,0,0.41,development-oof,synthetic
RH-017,coast-c,c-3,1,0.29,development-oof,synthetic
RH-018,coast-c,c-3,0,0.11,development-oof,synthetic
RH-019,coast-d,d-1,0,0.06,development-oof,synthetic
RH-020,coast-d,d-1,0,0.34,development-oof,synthetic
RH-021,coast-d,d-2,1,0.52,development-oof,synthetic
RH-022,coast-d,d-2,0,0.17,development-oof,synthetic
RH-023,coast-d,d-3,0,0.62,development-oof,synthetic
RH-024,coast-d,d-3,0,0.08,development-oof,synthetic
