record_id,evidence_role,site,sentinel2_ndvi,uav_height_p95,moisture_index,easting_generalized,northing_generalized,data_status
train-01,development_training,coast-a,0.42,18,0.21,500100,6500100,synthetic
train-02,development_training,coast-a,0.51,24,0.28,500200,6500060,synthetic
train-03,development_training,coast-a,0.60,31,0.36,500300,6500020,synthetic
train-04,development_training,coast-b,0.47,20,0.25,501100,6501100,synthetic
train-05,development_training,coast-b,0.57,29,0.34,501200,6501060,synthetic
train-06,development_training,coast-b,0.68,37,0.43,501300,6501020,synthetic
train-07,development_training,coast-c,0.45,19,0.23,502100,6502100,synthetic
train-08,development_training,coast-c,0.55,27,0.32,502200,6502060,synthetic
train-09,development_training,coast-c,0.66,35,0.41,502300,6502020,synthetic
grid-01,prediction_grid,deployment,0.49,23,0.27,503000,6503000,synthetic
grid-02,prediction_grid,deployment,0.58,30,0.35,503100,6502960,synthetic
grid-03,prediction_grid,deployment,0.64,34,0.40,503200,6502920,synthetic
grid-04,prediction_grid,deployment,0.38,39,0.48,503300,6502880,synthetic
grid-05,prediction_grid,deployment,0.34,42,0.53,503400,6502840,synthetic
grid-06,prediction_grid,deployment,0.31,45,0.57,503500,6502800,synthetic
