observation_id,outer_fold,site,evidence_role,rare_habitat,rare_probability,frozen_threshold,data_status
diag-001,fold-a,coast-a,outer_assessment,0,0.12,0.42,synthetic
diag-002,fold-a,coast-a,outer_assessment,0,0.19,0.42,synthetic
diag-003,fold-a,coast-a,outer_assessment,1,0.73,0.42,synthetic
diag-004,fold-a,coast-a,outer_assessment,0,0.38,0.42,synthetic
diag-005,fold-a,coast-a,outer_assessment,1,0.64,0.42,synthetic
diag-006,fold-a,coast-a,outer_assessment,0,0.27,0.42,synthetic
diag-007,fold-b,coast-b,outer_assessment,0,0.18,0.42,synthetic
diag-008,fold-b,coast-b,outer_assessment,1,0.58,0.42,synthetic
diag-009,fold-b,coast-b,outer_assessment,0,0.44,0.42,synthetic
diag-010,fold-b,coast-b,outer_assessment,0,0.33,0.42,synthetic
diag-011,fold-b,coast-b,outer_assessment,1,0.39,0.42,synthetic
diag-012,fold-b,coast-b,outer_assessment,0,0.21,0.42,synthetic
diag-013,fold-c,coast-c,outer_assessment,0,0.31,0.42,synthetic
diag-014,fold-c,coast-c,outer_assessment,0,0.47,0.42,synthetic
diag-015,fold-c,coast-c,outer_assessment,1,0.69,0.42,synthetic
diag-016,fold-c,coast-c,outer_assessment,0,0.54,0.42,synthetic
diag-017,fold-c,coast-c,outer_assessment,1,0.82,0.42,synthetic
diag-018,fold-c,coast-c,outer_assessment,0,0.36,0.42,synthetic
diag-019,fold-d,coast-d,outer_assessment,0,0.41,0.42,synthetic
diag-020,fold-d,coast-d,outer_assessment,0,0.62,0.42,synthetic
diag-021,fold-d,coast-d,outer_assessment,1,0.91,0.42,synthetic
diag-022,fold-d,coast-d,outer_assessment,0,0.57,0.42,synthetic
diag-023,fold-d,coast-d,outer_assessment,1,0.76,0.42,synthetic
diag-024,fold-d,coast-d,outer_assessment,0,0.49,0.42,synthetic
