observation_id,site,habitat_stratum,management_stratum,distance_to_shore_band,acquisition_condition,easting_generalized,northing_generalized,data_status
diag-001,coast-a,dry-meadow,grazed,inland,clear,500100,6500100,synthetic
diag-002,coast-a,dry-meadow,grazed,inland,clear,500180,6500120,synthetic
diag-003,coast-a,mesic-meadow,grazed,transition,clear,500260,6500080,synthetic
diag-004,coast-a,mesic-meadow,mown,transition,light-haze,500340,6500040,synthetic
diag-005,coast-a,wet-meadow,mown,coastal,light-haze,500420,6500000,synthetic
diag-006,coast-a,wet-meadow,unmanaged,coastal,clear,500500,6499960,synthetic
diag-007,coast-b,dry-meadow,grazed,inland,clear,501100,6501100,synthetic
diag-008,coast-b,dry-meadow,grazed,inland,clear,501180,6501120,synthetic
diag-009,coast-b,mesic-meadow,mown,transition,clear,501260,6501080,synthetic
diag-010,coast-b,mesic-meadow,mown,transition,light-haze,501340,6501040,synthetic
diag-011,coast-b,wet-meadow,unmanaged,coastal,light-haze,501420,6501000,synthetic
diag-012,coast-b,wet-meadow,unmanaged,coastal,clear,501500,6500960,synthetic
diag-013,coast-c,dry-meadow,grazed,inland,clear,502100,6502100,synthetic
diag-014,coast-c,dry-meadow,grazed,inland,clear,502180,6502120,synthetic
diag-015,coast-c,mesic-meadow,mown,transition,clear,502260,6502080,synthetic
diag-016,coast-c,mesic-meadow,mown,transition,light-haze,502340,6502040,synthetic
diag-017,coast-c,wet-meadow,unmanaged,coastal,light-haze,502420,6502000,synthetic
diag-018,coast-c,wet-meadow,unmanaged,coastal,clear,502500,6501960,synthetic
diag-019,coast-d,dry-meadow,grazed,inland,clear,503100,6503100,synthetic
diag-020,coast-d,dry-meadow,grazed,inland,clear,503180,6503120,synthetic
diag-021,coast-d,mesic-meadow,mown,transition,light-haze,503260,6503080,synthetic
diag-022,coast-d,mesic-meadow,mown,transition,light-haze,503340,6503040,synthetic
diag-023,coast-d,wet-meadow,unmanaged,coastal,thin-cloud,503420,6503000,synthetic
diag-024,coast-d,wet-meadow,unmanaged,coastal,thin-cloud,503500,6502960,synthetic
