observation_id,target,site,group,spatial_block,date,fold,excluded,exclusion_reason,sentinel2_ndvi,uav_height_p95_m,terrain_elevation_m,distance_to_water_m,source_target_id,predictor_stack_version
OBS-001,42,SITE-A,PLOT-A01,BLOCK-N,2025-06-12,FOLD-1,false,,0.61,0.48,1.8,135,FIELD-A01-V1,STACK-1.0
OBS-002,37,SITE-A,PLOT-A02,BLOCK-N,2025-06-12,FOLD-1,false,,0.57,0.43,1.6,118,FIELD-A02-V1,STACK-1.0
OBS-003,55,SITE-A,PLOT-A03,BLOCK-C,2025-06-13,FOLD-2,false,,0.69,0.62,1.3,82,FIELD-A03-V1,STACK-1.0
OBS-004,,SITE-A,PLOT-A04,BLOCK-C,2025-06-13,FOLD-2,false,,0.64,0.58,1.2,77,FIELD-A04-V1,STACK-1.0
OBS-005,29,SITE-A,PLOT-A05,BLOCK-S,2025-06-14,FOLD-3,false,,0.49,0.35,2.0,204,FIELD-A05-V1,STACK-1.0
OBS-006,63,SITE-B,PLOT-B01,BLOCK-N,2025-13-02,FOLD-1,false,,0.74,0.71,0.9,45,FIELD-B01-V1,STACK-1.0
OBS-007,58,SITE-B,PLOT-B02,BLOCK-N,2025-06-16,FOLD-1,false,,0.71,0.67,1.0,51,FIELD-B02-V1,STACK-1.0
OBS-008,46,SITE-B,PLOT-B03,BLOCK-C,2025-06-16,,false,,0.65,0.52,1.4,96,FIELD-B03-V1,STACK-1.0
OBS-009,34,SITE-B,PLOT-B04,BLOCK-C,2025-06-17,FOLD-2,false,,0.54,0.39,1.7,142,FIELD-B04-V1,STACK-1.0
OBS-010,72,SITE-B,PLOT-B05,BLOCK-S,2025-06-17,FOLD-3,false,,0.78,0.79,0.8,39,FIELD-B05-V1,STACK-1.0
OBS-010,72,SITE-B,PLOT-B05,BLOCK-S,2025-06-17,FOLD-3,false,,0.78,0.79,0.8,39,FIELD-B05-V1,STACK-1.0
OBS-011,51,SITE-C,PLOT-C01,BLOCK-N,2025-06-20,FOLD-1,false,,0.67,0.59,1.1,68,FIELD-C01-V1,STACK-1.0
OBS-012,44,SITE-C,PLOT-C02,BLOCK-N,2025-06-20,FOLD-1,false,,0.62,0.50,1.5,104,FIELD-C02-V1,STACK-1.0
OBS-013,39,SITE-C,PLOT-C03,BLOCK-C,2025-06-21,FOLD-2,false,,0.59,0.46,1.9,156,FIELD-C03-V1,STACK-1.0
OBS-014,31,SITE-C,PLOT-C04,BLOCK-C,2025-06-21,FOLD-2,true,,0.51,0.37,2.2,221,FIELD-C04-V1,STACK-1.0
OBS-015,66,SITE-C,PLOT-C05,BLOCK-S,2025-06-22,FOLD-3,false,,0.75,0.73,0.7,33,FIELD-C05-V1,STACK-1.0
OBS-016,48,SITE-D,PLOT-D01,BLOCK-N,2025-06-25,FOLD-1,false,,0.66,0.55,1.2,73,FIELD-D01-V1,STACK-1.0
OBS-017,35,SITE-D,PLOT-D02,BLOCK-C,2025-06-25,FOLD-2,false,,0.55,0.41,1.8,149,FIELD-D02-V1,STACK-1.0
OBS-018,61,SITE-D,PLOT-D03,BLOCK-S,2025-06-26,FOLD-3,false,,0.73,0.69,0.9,47,FIELD-D03-V1,STACK-1.0
